search_term,ranking_cohort,product_name,query_l1,brand_name,product_variant_id,selling_price,l3_category_name,ranking_score,temp,asp_boost,pop_boost
apple,Entry,Baby Apple Shimla| 500.0 - GRAM,Fruits & Vegetables,Unbranded,c2c8e164-7476-4b42-a10e-6b27e12bc84f,135.49101796407186,Apple,0.25324398,1,0.8021340348024462,1
apple,Entry,Apple Kinnaur| 4.0 - PIECE,Fruits & Vegetables,Fruits,f966847f-3875-491d-ae4b-e1051fd57ef9,178.89156626506025,Apple,0.17905594,2,1,1
apple,Entry,Apple Shimla| 4.0 - PIECE,Fruits & Vegetables,Fruits,a5834089-9baf-4025-81e4-d86372bbef09,175.2289156626506,Apple,0.17429559,3,1,1
apple,Entry,Apple Shimla| 2.0 - PIECE,Fruits & Vegetables,Fruits,eef64b1b-2a30-4ca5-a31d-a934f2e28b40,97.21518987341773,Apple,0.14536256,4,0.029283586405406285,1
apple,Entry,Apple Royal Gala Imported| 2.0 - PIECE,Fruits & Vegetables,Fruits,55835f1d-aaa2-4331-8279-b3adf07dca3d,122.93975903614458,Apple,0.14192398,5,0.5758257073888533,1
apple,Entry,Apple Kashmir| 4.0 - PIECE,Fruits & Vegetables,Fruits,df523158-b4f7-4f9a-ad73-9b075611af6d,122,Apple,0.08829308,6,0.557961859280802,1
apple,Entry,Apple Washington| 2.0 - PIECE,Fruits & Vegetables,Washington Apples,6b501f85-4a62-43ba-a846-0147b353ecad,150.01807228915663,Apple,0.054748483,7,1,1
apple,Entry,Apple Ber| 500.0 - GRAM,Fruits & Vegetables,Fruits,119cfa74-280b-4ce0-b584-ca2a4fb9a586,68.78787878787878,Apple,0.024081524,8,0,1
apple,Entry,Apple Green (Granny Smith)| 2.0 - PIECE,Fruits & Vegetables,Fruits,7a3555d3-1de0-4ed2-8643-87679d086c08,150.33132530120483,Apple,0.018817551,9,1,1
apple,Entry,Apple Pink Lady| 2.0 - PIECE,Fruits & Vegetables,Fruits,55819c47-5e7d-453e-a812-9da7efa12e57,178.3846153846154,Apple,0.01572334,10,1,1
apple,Entry,Apple 30W USB-C Power Adapter| 1.0 - PIECE,Fruits & Vegetables,Apple,19243e1a-0b90-4238-be59-35887cf15c72,3329,Wall Charger,0.010948987,11,1,1.3
apple,Entry,Wood Apple| 2.0 - PIECE,Fruits & Vegetables,Fruits,3706bf85-31da-422a-a2ac-22da416c9ced,31.90909090909091,Wood Apple,0.006478214,12,0,1
apple,Entry,Apple Pink Lady| 1.0 - PIECE,Fruits & Vegetables,Fruits,a1c4c2cc-a370-40b8-addb-e028efb92878,61.97986577181208,Apple,0.006308052,13,0,1
apple,Entry,Ice Apple| 200.0 - GRAM,Fruits & Vegetables,Unbranded,62303ea7-0610-4ec7-867b-705203a119bb,148.28048780487805,Ice Apple,0.003364935,14,1,1
apple,Entry,Apple Fuji Premium| 2.0 - PIECE,Fruits & Vegetables,Washington Apples,469e66b9-7dc4-419e-8e0b-fb18d7088ff8,142.59872611464968,Apple,0.002528215,15,0.9211636071905964,1
apple,Entry,Apple Royal Gala Imported| 4.0 - PIECE,Fruits & Vegetables,Fruits,e47494e2-dd0c-456e-9489-154b729c1716,275.3,Apple,0.0014536515,16,1,1
apple,Entry,"Apple Earpods wired Earphone, USB-C - White| 1.0 - PIECE",Fruits & Vegetables,Apple,3c584546-01da-4b8a-ae78-0c9d7bbfcc15,1501.03125,Wired Earphones,0.0012996162,17,1,1.5662274611212175
apple,Entry,Apple iPhone 17 Pro | 256 GB | Deep Blue| 1.0 - PIECE,Fruits & Vegetables,Apple,38440241-f50b-46b7-8267-511534e56653,133900,Smartphone,0.000883075,18,1,1.8615283135277205
apple,Entry,Apple iPhone 16 | 128GB | Ultramarine| 1.0 - PIECE,Fruits & Vegetables,Apple,709a7311-ef7b-47a0-b7e8-072e49684a36,75379.2,Smartphone,0.0007843797,19,1,1.4764857172046362
apple,Entry,Apple 20W USB-C Power Adapter| 1.0 - PIECE,Fruits & Vegetables,Apple,69ee836f-07d6-4b79-b1e0-2d23c812f312,1457.4945054945056,Wall Charger,0.0007298384,20,1,2
apple,Entry,Apple AirPods Pro 3 | Wireless Earbuds| 1.0 - PIECE,Fruits & Vegetables,Apple,d024f6a7-833a-43d2-a7e9-44c27952153f,22999,TWS Earbuds,0.0006833978,21,1,1.8122701569580648
apple,Entry,Apple iPhone 17 Pro | 256 GB | Cosmic Orange| 1.0 - PIECE,Fruits & Vegetables,Apple,10c606fa-4327-4d32-a48a-2b05af2ecd3f,133900,Smartphone,0.00061713095,22,1,1.5809651446421313
apple,Entry,Apple iPhone 16 | 128GB | Black| 1.0 - PIECE,Fruits & Vegetables,Apple,8a1ee311-baca-4a86-8633-7877e1d74d16,74034.89423076923,Smartphone,0.0004786403,23,1,1.5843734467873274
apple,Entry,Apple AirPods 4 | Wireless Earbuds| 1.0 - PIECE,Fruits & Vegetables,Apple,e93342e3-3405-40ee-8061-b785bb089754,10999,TWS Earbuds,0.00044333513,24,1,1.6959643883504194
apple,Entry,"Apple 60W USB Type C to Type C Cable (1 m, White)| 1.0 - PIECE",Fruits & Vegetables,Apple,99f02c36-8a7e-4566-885d-c4e637a97fdb,1499,Charging Cable,0.00037105306,25,1,1.3
apple,Entry,Apple iPhone 16e | 128 GB | Black| 1.0 - PIECE,Fruits & Vegetables,Apple,c6396a03-b50d-4978-9022-41df32e9b819,56472.22727272727,Smartphone,0.00036340722,26,1,1.1871342048323412
apple,Entry,"Apple iPad 10th Gen | 10.9"" Liquid Retina Display | 64 GB ROM | 12MP Front and Back Camera | Silver| 1.0 - PIECE",Fruits & Vegetables,Apple,2ad0bf21-4392-471e-b9ac-5b109f8387a1,30185.363636363636,Calling Tablets,0.00032332732,27,1,1.8261653732430516
apple,Entry,Apple AirPods 4 with Active noise cancellation| 1.0 - PIECE,Fruits & Vegetables,Apple,a19a3d2b-7553-4ae3-946a-05a8c61c5a3e,15999,TWS Earbuds,0.00031878453,28,1,1.754798885741159
apple,Entry,"Apple iPad 10th Gen | 10.9"" Liquid Retina Display | 64 GB ROM | 12MP Front and Back Camera | Blue| 1.0 - PIECE",Fruits & Vegetables,Apple,d21ce6c9-477b-4104-943c-324c7ecd715a,30177.260869565216,Calling Tablets,0.0002936006,29,1,1.7986732397071252
apple,Entry,Apple Usb-C To Lightning Cable | 1 m| 1.0 - PIECE,Fruits & Vegetables,Apple,6b1b60d7-34a0-411a-847f-5dde01d6b411,1498.551724137931,Charging Cable,0.00028475054,30,1,1.5576589270091996
apple,Entry,Apple USB-C to 3.5 mm Headphone Jack Adapter| 1.0 - PIECE,Fruits & Vegetables,Apple,01552647-d893-44a7-abfd-d4049b3cafbe,743.6428571428571,OTG Adapter & Cable,0.00026177417,31,1,1.3
apple,Entry,Apple iPhone 17 | 256 GB | Black| 1.0 - PIECE,Fruits & Vegetables,Apple,ee6d517e-9d9d-472e-a1d7-f47ad4c05dfd,82900,Smartphone,0.0002527953,32,1,1.6565800273178104
apple,Entry,Apple iPhone 16 Plus | 256GB | Black| 1.0 - PIECE,Fruits & Vegetables,Apple,f6238d26-792b-4b6e-a895-61a9e24f32f8,98104.26315789473,Smartphone,0.0002466017,33,1,1.1871342048323412
apple,Entry,Apple Watch Series 11 GPS 46mm Jet Black Aluminium Case With Black Sport Band - M/L| 1.0 - PIECE,Fruits & Vegetables,Apple,8ab697ed-a984-46be-8698-c440cf7024fe,48729,Smart Watch,0.0002389763,34,1,1.609921398312844
apple,Entry,Apple Lightning to Usb Cable | 1 m| 1.0 - PIECE,Fruits & Vegetables,Apple,56a9077f-4d8a-487d-a085-d4016a7ad4bb,1499,Charging Cable,0.0002250178,35,1,1.3
apple,Entry,"Unigen MAGTEC 500 23W 5 in 1 Mag-Safe Charging Station | For Apple watch, Phones & Earbuds | Black| 1.0 - PIECE",Fruits & Vegetables,Unigen,03ffd1ea-7571-450b-bf53-3ad9da77c099,2969.8,Wireless Charger,0.00021660232,36,1,1.033760731767813
apple,Entry,Apple 240W USB-C to C Type Charging Cable | 2 m| 1.0 - PIECE,Fruits & Vegetables,Apple,f8d0b432-9bf9-420b-9ec2-b5211f21c209,2399,Charging Cable,0.00020712792,37,1,1.3
apple,Entry,Apple iPhone 17 Pro Max | 256 GB | Deep Blue| 1.0 - PIECE,Fruits & Vegetables,Apple,f6d9ad26-0634-4fe7-836c-97af7d601d87,149084.3076923077,Smartphone,0.0001844997,38,1,1.1871342048323412
apple,Entry,"Apple Airpods Pro 2nd Generation With Magsafe Case, USB-C - White| 1.0 - PIECE",Fruits & Vegetables,Apple,0b5ecb13-7787-4167-95c4-c71d93ddbfd2,23313.305555555555,TWS Earbuds,0.00017618634,39,1,1.1838314044129317
apple,Entry,Apple Pencil Pro| 1.0 - PIECE,Fruits & Vegetables,Apple,8ea0af8a-6b3d-43a8-8892-417e39b5da90,11610.384615384615,Stylus Pen,0.00017388718,40,1,1.1165808436983062
apple,Entry,Apple Pencil 2nd Gen| 1.0 - PIECE,Fruits & Vegetables,Apple,bf1965b6-9af2-444f-82b2-8f7138163634,11034.84,Stylus Pen,0.000103073624,41,1,1.1165808436983062
apple,Entry,Apple MagSafe Charger | 1 m| 1.0 - PIECE,Fruits & Vegetables,Apple,3e5ccea6-9146-4b99-ac7f-b33b98acee51,3599,Wireless Charger,0.000094778145,42,1,1.3
apple,Entry,Apple iPhone 17 | 256 GB | Sage| 1.0 - PIECE,Fruits & Vegetables,Apple,135cb963-b6e3-46c6-9a4f-9c7030fba2ef,82900,Smartphone,0.00008265228,43,1,1.1871342048323412
apple,Entry,Apple iPhone 16 | 128GB | Pink| 1.0 - PIECE,Fruits & Vegetables,Apple,b817a97f-c495-4d12-a653-346e1e78b509,74196.06451612903,Smartphone,0.000077811506,44,1,1.1871342048323412
apple,Entry,Apple iPhone 17 | 256 GB | Mist Blue| 1.0 - PIECE,Fruits & Vegetables,Apple,3a42c40d-0b71-4dfc-9638-2eae943e2190,82900,Smartphone,0.00006924805,45,1,1.5297067115901526
apple,Entry,Apple iPhone 17 | 256 GB | Lavender| 1.0 - PIECE,Fruits & Vegetables,Apple,d239d694-75de-463b-b9a7-a943c5848161,82900,Smartphone,0.00004233303,46,1,1.4558904977361238
atta,Entry,"Aashirvaad Atta - Superior MP Whole Wheat, No Maida | Pouch| 1.0 - KILOGRAM","Atta, Rice, Oil & Dals",Aashirvaad,ae6045b0-0526-4401-8a18-cb55592249e6,64.04242424242425,Atta,0.19667388,1,0.055696751817921004,2
atta,Entry,Fortune Chakki Fresh Atta| 1.0 - KILOGRAM,"Atta, Rice, Oil & Dals",Fortune,141c4bb0-6694-443b-a972-f8da61fdc105,47.05298013245033,Atta,0.16941848,2,0,1.7564917528500748
