search_term,ranking_cohort,product_name,category_cluster,query_l1,brand_name,product_variant_id,selling_price,l3_category_name,ranking_score,temp,asp_boost,pop_boost,sku_pop,brand_pop,med_asp,p25_asp
curd,Premium,Nandini Thick Curd Pouch| 500.0 - MILLILITRE,Grocery & Kitchen,"Dairy, Bread & Eggs",Nandini,f05fb698-1b4a-4c68-a16a-1dbc018ccb0c,27.820359281437124,Curd,0.1903734,1,0.4791229942390875,2,1,1,121.49141829942802,24.000000000000004
curd,Premium,Amul Curd Pouch| 450.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Amul,39943e9a-a149-4b3b-8aab-d7cb81119521,24.00625,Curd,0.09932873,2,0.0008445722212321818,1.5862802274620547,0.5608306613343518,0.6456625484266943,121.49141829942802,24.000000000000004
curd,Premium,Heritage Total Curd Pouch| 475.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Heritage,6fe48002-44ec-4c37-af80-7034d3fc6db6,28.834355828220858,Curd,0.07749801,3,0.5952414765510216,1.341223800460693,0.36187421964089106,0.2930394890402305,121.49141829942802,24.000000000000004
curd,Premium,Amul Curd Pouch| 900.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Amul,cb1308a4-ab3d-4425-b27d-cd08048bc339,48.0377358490566,Curd,0.054615855,4,1,1.3912744881680417,0.28225103377147626,0.6456625484266943,121.49141829942802,24.000000000000004
curd,Premium,Hatsun Curd Pouch| 500.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Hatsun,b87ff0cd-08a4-4d2d-972d-0e458dc67d85,36.1,Curd,0.06019605,5,1,1.290259217251114,0.2645623327366951,0.350218614451425,121.49141829942802,24.000000000000004
curd,Premium,Milky Mist Curd Pouch| 400.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Milky Mist,06806c10-0b66-4131-8279-ccf912d0758e,37.2710843373494,Curd,0.061556082,6,1,1.3698687326501395,0.3492738312789935,0.4179235025161472,121.49141829942802,24.000000000000004
curd,Premium,Amul Masti Curd Pouch| 450.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Amul,3f3d772a-04a4-4236-8dd5-e848d99c459a,33.7939393939394,Curd,0.031858113,7,1,1.1936987645280084,0,0.6456625484266943,121.49141829942802,24.000000000000004
curd,Premium,Hatsun Cup Curd| 200.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Hatsun,6f523e85-b003-44f4-973c-49d125ef0131,24.944444444444443,Curd,0.042458013,8,0.12519341316365307,1.1050655843354276,0,0.35021861445142494,121.49141829942802,24.000000000000004
curd,Premium,Akshayakalpa Organic Curd Pouch| 200.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Akshayakalpa,75a475ab-2a64-4004-9c60-692cc836ffda,22.96969696969697,Curd,0.16998856,9,0,1.172631847907174,0,0.5754394930239134,121.49141829942802,24.000000000000004
curd,Premium,Milky Mist Curd Pouch| 200.0 - GRAM,Grocery & Kitchen,"Dairy, Bread & Eggs",Milky Mist,416e4686-db40-4ccd-b601-910d88fdb8ad,18.70552147239264,Curd,0.02899279,10,0,1.1253770507548442,0,0.4179235025161473,121.49141829942802,24.000000000000004
